"쇼핑몰","쇼핑몰번호","주문번호","발주일","주문상품명","상품번호","옵션","자체품목코드","결제수단","결제업체","결제정보","판매가","수량","수령인","우편번호","주소","수령지전화","전화번호","핸드폰","비고","주문자","주문자우편번호","주문자주소","주문자전화번호","주문자핸드폰","옵션추가 가격","배송비 정보"
"한국어 쇼핑몰","1","S-001","5/13/26","제로가드닝 에키네시아 판테온","100","수량=1개","ech01-10","기타","","","12000.00","1","이수진","12345","서울시 강남구 테헤란로 1","","010-1111-2222","010-1111-2222","문 앞","이수진","12345","서울시 강남구 테헤란로 1","010-1111-2222","010-1111-2222","","무료"
"한국어 쇼핑몰","1","S-002","2026-08-08 09:12:33","제로가드닝 루드베키아 2입","100","","ERB01-10(2)","기타","","","9000","3","박준호","13529","경기 성남시 분당구 판교로 2","","010-3333-4444","010-3333-4444","문 앞","박준호","13529","경기 성남시 분당구 판교로 2","010-3333-4444","010-3333-4444","","무료"
"한국어 쇼핑몰","1","S-003","작년 여름","제로가드닝 청사초","100","수량=1개","CAR01-10","기타","","","7000","1","최유리","04524","서울시 중구 을지로 3","","010-5555-6666","010-5555-6666","문 앞","최유리","04524","서울시 중구 을지로 3","010-5555-6666","010-5555-6666","","무료"
"한국어 쇼핑몰","1","S-004","2026-08-08","제로가드닝 루엘리아","100","수량=1개","Ruellia simplex","기타","","","8000","1","정민수","06234","서울시 서초구 서초대로 4","","010-7777-8888","010-7777-8888","문 앞","정민수","06234","서울시 서초구 서초대로 4","010-7777-8888","010-7777-8888","","무료"
"한국어 쇼핑몰","1","S-005","2026-08-08","제로가드닝 무늬사초 아우레올라","100","수량=1개","","기타","","","11000","1","한서영","03022","서울 종로구 창의문로11길 20-6","","010-9999-0000","010-9999-0000","문 앞","한서영","03022","서울 종로구 창의문로11길 20-6","010-9999-0000","010-9999-0000","","무료"
"한국어 쇼핑몰","1","S-005","2026-08-08","제로가드닝 억새 레드치프","100","수량=1개","","기타","","","13000","1","한서영","03022","서울 종로구 창의문로11길 20-6","","010-9999-0000","010-9999-0000","문 앞","한서영","03022","서울 종로구 창의문로11길 20-6","010-9999-0000","010-9999-0000","","무료"
"한국어 쇼핑몰","1","S-007","2026-08-08","제로가드닝 에키네시아 4입","100","수량=4개","ECH01-10(3)","기타","","","20000","2","오지훈","21999","인천 연수구 송도과학로 7","","010-2222-3333","010-2222-3333","문 앞","오지훈","21999","인천 연수구 송도과학로 7","010-2222-3333","010-2222-3333","","무료"
"한국어 쇼핑몰","1","S-008","2026-08-08","제로가드닝 휴케라 팰리스퍼플","100","색상=3.그린 / 포장=기본","HEP01-15","기타","","","15000","1","서지우","48058","부산 해운대구 센텀중앙로 8","","010-4444-5555","010-4444-5555","문 앞","서지우","48058","부산 해운대구 센텀중앙로 8","010-4444-5555","010-4444-5555","","무료"
"한국어 쇼핑몰","1","S-009","2026-08-08","제로가드닝 수크령 레드헤드","100","수량=1개","PER03-15","기타","","","16000","1","박도현","06234","서울 서초구 반포대로 9","","0504-1111-0001","0504-1111-0001","문 앞","박도현","06234","서울 서초구 반포대로 9","0504-1111-0001","0504-1111-0001","","무료"
"한국어 쇼핑몰","1","S-010","2026-08-08","제로가드닝 청사초","100","수량=1개","CAR01-10","기타","","","6000","1","박도현","06234","서울 서초구 반포대로 9","","0504-2222-0002","0504-2222-0002","문 앞","박도현","06234","서울 서초구 반포대로 9","0504-2222-0002","0504-2222-0002","","무료"
"한국어 쇼핑몰","1","S-011","2026-08-08","제로가드닝 층꽃 스털링실버","100","수량=1개","CAS01-18","기타","","","14000","1","윤하늘","","대전 유성구 대학로 11","","010-6666-7777","010-6666-7777","문 앞","윤하늘","","대전 유성구 대학로 11","010-6666-7777","010-6666-7777","","무료"
"한국어 쇼핑몰","1","S-012","2026-08-08","제로가드닝 억새","100","수량=1개","MIS01-27","기타","","","30000","3","정하늘","07000","서울 영등포구 여의대로 12","","010-8888-9999","010-8888-9999","문 앞","정하늘","07000","서울 영등포구 여의대로 12","010-8888-9999","010-8888-9999","","무료"
"한국어 쇼핑몰","1","S-013","2026-08-08","제로가드닝 털수염풀","100","수량=1개","FES01-10","기타","","","5000","1","정하늘","07000","서울 영등포구 여의대로 12","","010-8888-9999","010-8888-9999","문 앞","정하늘","07000","서울 영등포구 여의대로 12","010-8888-9999","010-8888-9999","","무료"
"한국어 쇼핑몰","1","","2026-08-08","제로가드닝 이름없는 줄","100","수량=1개","CAR01-10","기타","","","1000","1","무명","11111","어딘가","","010-0000-0000","010-0000-0000","문 앞","무명","11111","어딘가","010-0000-0000","010-0000-0000","","무료"
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
